Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
MMM,3M Company,198.84,$118.05B,,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/mmm
ABT,Abbott Laboratories,63.2,$110.8B,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abt
ABBV,AbbVie Inc.,89.4,$141.87B,2012.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abbv
ACN,Accenture plc,165.96,$106.45B,2001.0,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/acn
AYI,Acuity Brands Inc,130.27,$5.23B,,Consumer Durables,Building Products,https://www.nasdaq.com/symbol/ayi
AAP,Advance Auto Parts Inc,144.66,$10.71B,,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/aap
AET,Aetna Inc.,188.33,$61.6B,,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/aet
AMG,"Affiliated Managers Group, Inc.",150.11,$8.15B,,Finance,Investment Managers,https://www.nasdaq.com/symbol/amg
AFL,Aflac Incorporated,43.48,$33.66B,,Finance,Accident &Health Insurance,https://www.nasdaq.com/symbol/afl
A,"Agilent Technologies, Inc.",63.72,$20.39B,1999.0,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/a
APD,"Air Products and Chemicals, Inc.",153.87,$33.73B,,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/apd
ALK,"Alaska Air Group, Inc.",61.54,$7.59B,,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/alk
ALB,Albemarle Corporation,90.92,$10.07B,,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/alb
ARE,"Alexandria Real Estate Equities, Inc.",123.55,$12.72B,,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/are
ALLE,Allegion plc,78.71,$7.47B,2013.0,Consumer Services,Diversified Commercial Services,https://www.nasdaq.com/symbol/alle
AGN,Allergan plc.,172.23,$58.4B,2013.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/agn
ADS,Alliance Data Systems Corporation,233.37,$12.93B,2001.0,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/ads
LNT,Alliant Energy Corporation,42.18,$9.76B,,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/lnt
ALL,Allstate Corporation (The),93.19,$32.76B,,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/all
MO,Altria Group,57.59,$109B,,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/mo
AEE,Ameren Corporation,60.93,$14.85B,,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/aee
AEP,"American Electric Power Company, Inc.",69.44,$34.2B,,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/aep
AXP,American Express Company,101.22,$87.09B,,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/axp
AIG,"American International Group, Inc.",53.4,$47.94B,,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/aig
AMT,American Tower Corporation (REIT),140.84,$62.2B,,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/amt
AWK,American Water Works,87.28,$15.54B,2008.0,Public Utilities,Water Supply,https://www.nasdaq.com/symbol/awk
AMP,"AMERIPRISE FINANCIAL SERVICES, INC.",143.02,$20.68B,,Finance,Investment Managers,https://www.nasdaq.com/symbol/amp
ABC,AmerisourceBergen Corporation (Holding Co),84.75,$18.63B,,Health Care,Other Pharmaceuticals,https://www.nasdaq.com/symbol/abc
APH,Amphenol Corporation,88.0,$26.53B,,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/aph
AME,"AMTEK, Inc.",72.71,$16.84B,,Consumer Durables,Metal Fabrications,https://www.nasdaq.com/symbol/ame
APC,Anadarko Petroleum Corporation,71.06,$36.6B,,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/apc
ANDV,Andeavor,137.92,$20.84B,,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/andv
ANTM,"Anthem, Inc.",248.83,$63.5B,,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/antm
AON,Aon plc,147.19,$35.99B,,Finance,Specialty Insurers,https://www.nasdaq.com/symbol/aon
APA,Apache Corporation,44.35,$16.95B,,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/apa
AIV,Apartment Investment and Management Company,41.6,$6.55B,1994.0,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/aiv
APTV,Aptiv PLC,92.73,$24.55B,2011.0,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/aptv
ADM,Archer-Daniels-Midland Company,47.23,$26.41B,,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/adm
ARNC,Arconic Inc.,18.99,$9.17B,,Capital Goods,Metal Fabrications,https://www.nasdaq.com/symbol/arnc
AJG,Arthur J. Gallagher & Co.,70.79,$12.9B,,Finance,Specialty Insurers,https://www.nasdaq.com/symbol/ajg
AIZ,"Assurant, Inc.",107.45,$6.78B,2004.0,Finance,Accident &Health Insurance,https://www.nasdaq.com/symbol/aiz
T,AT&T Inc.,31.0,$227.12B,,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/t
AZO,"AutoZone, Inc.",714.78,$18.9B,,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/azo
AVB,"AvalonBay Communities, Inc.",170.35,$23.54B,,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/avb
AVY,Avery Dennison Corporation,102.96,$9.06B,,Consumer Durables,Containers/Packaging,https://www.nasdaq.com/symbol/avy
BHGE,"Baker Hughes, a GE company",32.5,$36.17B,2017.0,Energy,Metal Fabrications,https://www.nasdaq.com/symbol/bhge
BLL,Ball Corporation,37.88,$13.23B,,Consumer Durables,Containers/Packaging,https://www.nasdaq.com/symbol/bll
